COD_MOD,LIB_MOD
_Z,Nombre
PT,Pourcentage
P100000,Pour cent mille
XDC,Devise nationale (Euros)
FT,Équivalent temps plein
TCO2E,Tonnes équivalent CO2
HW,Heures travaillées
M3,Mètre cube
T,Tonne
KG,Kilogramme
uGM3,Microgramme par mètre cube
HA,Hectare
N_100m,Nombre par 100m
TWH,Térawattheure
N_KM2,Nombre par Km2
EUR_KG,Euro par kilogramme
MWH_6XDC,Mégawattheure par million d’euros
IX,Indice
IX_S,Indice de Simpson
KM2,Kilomètre carré
